Genus,Species,Common Name 1,Common Name 2,Family,Clade,Size,Canopy,Global_ Distribution,Locality,Abundance,Climatic_Domain,Climatic _Zone,General_Description,Images_Folder
Pyrus,calleryana,callery pear,,Rosaceae,Angiosperm,,,,,,,,,Pyrus calleryana
Pyrus,communis,pear,,Rosaceae,Angiosperm,,,,,,,,,Pyrus communis
Pyrus,nivalis,snow pear,,Rosaceae,Angiosperm,,,,,,,,,Pyrus nivalis
Pyrus,pubescens,,,Rosaceae,Angiosperm,,,,,,,,,Pyrus pubescens
Pyrus,ussuriensis var. hondoensis,Japanese wild pear,,Rosaceae,Angiosperm,,,,,,,,,Pyrus ussuriensis var. hondoensis
Quercus,acuta,Japanese evergreen oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus acuta
Quercus,agrifolia,coast live oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus agrifolia
Quercus,bicolor,swamp white oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus bicolor
Quercus,canariensis,Algerian oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus canariensis
Quercus,castaneifolia,chestnut-leaved oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus castaneifolia
Quercus,castaneifolia x cerris,,,Fagaceae,Angiosperm,,,,,,,,,Quercus castaneifolia x cerris
Quercus,cerris,Turkey oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus cerris
Quercus,"cerris 'Laciniata""",,,Fagaceae,Angiosperm,,,,,,,,,"Quercus cerris 'Laciniata"""
Quercus,cerris x suber ,,,Fagaceae,Angiosperm,,,,,,,,,Quercus cerris x suber 
Quercus,coccinea,scarlet oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus coccinea
Quercus,dentata,Japanese emperor oak,daimyo oak,Fagaceae,Angiosperm,,,,,,,,,Quercus dentata
Quercus,douglasii,blue oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus douglasii
Quercus,engelmannii,Engelmann oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus engelmannii
Quercus,frainetto,Hungarian oak,Italian oak,Fagaceae,Angiosperm,,,,,,,,,Quercus frainetto
Quercus,hispanica 'Lucombeana',Lucome oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus hispanica 'Lucombeana'
Quercus,ilex,holm oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus ilex
Quercus,laurifolia,laurel oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus laurifolia
Quercus,leucotrichophora,banj oak,banjh oak,Fagaceae,Angiosperm,,,,,,,,,Quercus leucotrichophora
Quercus,lobata,valley oak,roble,Fagaceae,Angiosperm,,,,,,,,,Quercus lobata
Quercus,macrocarpa,bur oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus macrocarpa
Quercus,mongolica,Mongolian oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus mongolica
Quercus,palustris,pin oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus palustris
Quercus,petraea,sessile oak ,durmast oak,Fagaceae,Angiosperm,,,,,,,,,Quercus petraea
Quercus,phillyraeoides,black ridge oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus phillyraeoides
Quercus,pubescens,downy oak,white oak,Fagaceae,Angiosperm,,,,,,,,,Quercus pubescens
Quercus,robur,English oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus robur
Quercus,rubra,red oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus rubra
Quercus,suber,cork oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus suber
Quercus,trojana,Macedonian oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus trojana
Quercus,velutina ,black oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus velutina 
Quercus,x hispanica,Spanish oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus x hispanica
Quercus,x rosacea,,,Fagaceae,Angiosperm,,,,,,,,,Quercus x rosacea
Quercus,x turneri 'Pseudoturneri',Turner's oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus x turneri 'Pseudoturneri'
Quercus,xalapensis,xalapa oak,,Fagaceae,Angiosperm,,,,,,,,,Quercus xalapensis
Quillaja,saponaria,soapbark tree,soapbark,Quillajaceae,Angiosperm,,,,,,,,,Quillaja saponaria
Rapanea,howittiana,muttonwood,brush muttonwood,Primulaceae,Angiosperm,,,,,,,,,Rapanea howittiana
Rhiozophora,stylosa,spotted mangrove,red mangrove,Rhizophoraceae,Angiosperm,,,,,,,,,Rhiozophora stylosa
Rhodahnia ,rubescens,scrub turpentine,brown malletwood,Myrtaceae,Angiosperm,,,,,,,,,Rhodahnia  rubescens
Rhodosphaera ,rhodanthema,deep yellow wood,,Anacardiaceae,Angiosperm,,,,,,,,,Rhodosphaera  rhodanthema
Rhus,chinensis,Chinese sumac,nutgall tree,Anacardiaceae,Angiosperm,,,,,,,,,Rhus chinensis
Rhus,coriaria,elm leaved sumac,Sicilan sumac,Anacardiaceae,Angiosperm,,,,,,,,,Rhus coriaria
Rhus,integrifolia,lemonade berry,lemonade sumac,Anacardiaceae,Angiosperm,,,,,,,,,Rhus integrifolia
Robinia,pseudoacacia,black locust,,Fabaceae,Angiosperm,,,,,,,,,Robinia pseudoacacia
Robinia,viscosa,clammy locust,,Fabaceae,Angiosperm,,,,,,,,,Robinia viscosa
Rosa,sambucina,shan qiang wei,,Rosaceae,Angiosperm,,,,,,,,,Rosa sambucina
Sabal,bermudana,bermuda palmetto palm,bibby tree,Arecaceae,Angiosperm,,,,,,,,,Sabal bermudana
Salix,babylonica,weeping willow,,Salicaceae,Angiosperm,,,,,,,,,Salix babylonica
Sannantha,pluriflora,tall baeckea,twiggy heath myrtle,Myrtaceae,Angiosperm,,,,,,,,,Sannantha pluriflora
Santalum,australocaledonicum,sandalwood,Pacific sandalwood,Santalaceae,Angiosperm,,,,,,,,,Santalum australocaledonicum
Sarcomelicope,simplicifolia,baurella,hard aspen,Rutaceae,Angiosperm,,,,,,,,,Sarcomelicope simplicifolia
Schinus,molle,peppercorn,,Anacardiaceae,Angiosperm,,,,,,,,,Schinus molle
Schizomeria,ovata,cherry birch,,Cunoniaceae,Angiosperm,,,,,,,,,Schizomeria ovata
Schotia,brachypetala,weeping boer bean,,Fabaceae,Angiosperm,,,,,,,,,Schotia brachypetala
Senecio,anethifolius subsp brevibracteolatus,,,Asteraceae,Angiosperm,,,,,,,,,Senecio anethifolius subsp brevibracteolatus
Senegalia,nigrescens,knobthorn,,Fabaceae,Angiosperm,,,,,,,,,Senegalia nigrescens
Sequoia,sempervirens,coast redwood,California redwood,Cupressaceae,Gymnosperm,,,,,,,,,Sequoia sempervirens
Sequoiadendron,giganteum,giant Sequoia,,Cupressaceae,Gymnosperm,,,,,,,,,Sequoiadendron giganteum
Shefflera,digitata,seven finger patepate,umbrella tree,Araliaceae,Angiosperm,,,,,,,,,Shefflera digitata
Sinojackia,rehderiana,jacktree,,Styracaceae,Angiosperm,,,,,,,,,Sinojackia rehderiana
Sloanea,australis,maiden's blush,,Elaeocarpaceae,Angiosperm,,,,,,,,,Sloanea australis
Sloanea,macbrydei,carabeen,grey carabeen,Elaeocarpaceae,Angiosperm,,,,,,,,,Sloanea macbrydei
Sloanea,woollsii,yellow carabeen,,Elaeocarpaceae,Angiosperm,,,,,,,,,Sloanea woollsii
Sophora,toromiro,toromiro,,Fabaceae,Angiosperm,,,,,,,,,Sophora toromiro
Sophora,microphylla,kowhai,,Fabaceae,Angiosperm,,,,,,,,,Sophora microphylla
Sophora,tetraptera,large leaved kowhai,,Fabaceae,Angiosperm,,,,,,,,,Sophora tetraptera
Sorbus,alnifolia,Korean mountain ash,,Rosaceae,Angiosperm,,,,,,,,,Sorbus alnifolia
Sorbus,aucuparia,rowan,,Rosaceae,Angiosperm,,,,,,,,,Sorbus aucuparia
Sorbus,aucuparia subsp. aucuparia,,,Rosaceae,Angiosperm,,,,,,,,,Sorbus aucuparia subsp. aucuparia
Sorbus,commixta,Japnese rowan,Japanese mountain ash,Rosaceae,Angiosperm,,,,,,,,,Sorbus commixta
Sorbus,domestica forma pomifera,,,Rosaceae,Angiosperm,,,,,,,,,Sorbus domestica forma pomifera
Sorbus,domestica forma pyrifera,,,Rosaceae,Angiosperm,,,,,,,,,Sorbus domestica forma pyrifera
Sorbus,gonggashanica,gonga shan mountain ash,snow balls,Rosaceae,Angiosperm,,,,,,,,,Sorbus gonggashanica
Sorbus,himalaica,,,Rosaceae,Angiosperm,,,,,,,,,Sorbus himalaica
Sorbus,keissleri,mao xu hua qiu,,Rosaceae,Angiosperm,,,,,,,,,Sorbus keissleri
Sorbus,latifolia,whitebeam,,Rosaceae,Angiosperm,,,,,,,,,Sorbus latifolia
Sorbus,torminalis,wild service tree,chequer tree,Rosaceae,Angiosperm,,,,,,,,,Sorbus torminalis
Sorbus,umbellata,alisier d'orient,,Rosaceae,Angiosperm,,,,,,,,,Sorbus umbellata
Sorbus,x kewensis,mountain ash,,Rosaceae,Angiosperm,,,,,,,,,Sorbus x kewensis
Spathodea,campanulata,African tulip tree,,Bignoniaceae,Angiosperm,,,,,,,,,Spathodea campanulata
Stenocarpus,salignus ,scrub beefwood,red silky oak,Proteaceae,Angiosperm,,,,,,,,,Stenocarpus salignus 
Stenocarpus,sinuatus,fire wheel tree,,Proteaceae,Angiosperm,,,,,,,,,Stenocarpus sinuatus
Styrax,japonicus,Japonese snowbell,,Styracaceae,Angiosperm,,,,,,,,,Styrax japonicus
Syncarpia,glomulifera,turpentine ,yanderra,Myrtaceae,Angiosperm,,,,,,,,,Syncarpia glomulifera
Syncarpia,hillii,satinay,Fraser Island satinay,Myrtaceae,Angiosperm,,,,,,,,,Syncarpia hillii
Synoum,muelleri,scentless rosewood,red sycamore,Meliaceae,Angiosperm,,,,,,,,,Synoum muelleri
Syzygium,australe,creek lilly-pilly,brush cherry,Myrtaceae,Angiosperm,,,,,,,,,Syzygium australe
Syzygium,floribunda,weeping lilly-pilly,,Myrtaceae,Angiosperm,,,,,,,,,Syzygium floribunda
Syzygium,francisii,giant water gum,rose satinash,Myrtaceae,Angiosperm,,,,,,,,,Syzygium francisii
Syzygium,leuhmannii,riberry,small leaved lilly pilly,Myrtaceae,Angiosperm,,,,,,,,,Syzygium leuhmannii
Syzygium,paniculatum,magenta lilly pilly,magenta cherry,Myrtaceae,Angiosperm,,,,,,,,,Syzygium paniculatum
Syzygium,wilsonii,powder puff lilly pilly,,Myrtaceae,Angiosperm,,,,,,,,,Syzygium wilsonii
Taiwania,cryptomerioides,Chinese coffin gtree,,Cupressaceae,Gymnosperm,,,,,,,,,Taiwania cryptomerioides
Tamarindus,indica,tamarind,,Fabaceae,Angiosperm,,,,,,,,,Tamarindus indica
Tapiscia,sinensis,,,Tapisciaceae,Angiosperm,,,,,,,,,Tapiscia sinensis
Tasmannia,insipida,brush pepperbush,,Winteraceae,Angiosperm,,,,,,,,,Tasmannia insipida
Tasmannia,lanceolata,Tasmanian pepperberry,mountain pepper,Winteraceae,Angiosperm,,,,,,,,,Tasmannia lanceolata
Taxodium,distichum,bald cypress,,Cupressaceae,Gymnosperm,,,,,,,,,Taxodium distichum
Taxodium,distichum var. distichum,bald cypress,,Cupressaceae,Gymnosperm,,,,,,,,,Taxodium distichum var. distichum
Taxodium,mucronatum,Montezuma cypress,,Cupressaceae,Gymnosperm,,,,,,,,,Taxodium mucronatum
Taxus,baccata,yew,,Taxaceae,Gymnosperm,,,,,,,,,Taxus baccata
Taxus,baccata 'Fastigata',Irish yew,,Taxaceae,Gymnosperm,,,,,,,,,Taxus baccata 'Fastigata'
Tectona,grandis,teak,,Lamiaceae,Angiosperm,,,,,,,,,Tectona grandis
Terminalia,catappa ,Indian almond,country almond,Combretaceae,Angiosperm,,,,,,,,,Terminalia catappa 
Terminalia,sericocarpa,damson,damson plum,Combretaceae,Angiosperm,,,,,,,,,Terminalia sericocarpa
Ternstroemia,gymnanathera,bossy ternstroemia,Japanese ternstroemia,Pentaphylacaceae,Angiosperm,,,,,,,,,Ternstroemia gymnanathera
Tetraclinis,articulata,sandarac,,Cupressaceae,Gymnosperm,,,,,,,,,Tetraclinis articulata
Tetradium,daniellii,bee-bee tree,tetradium,Rutaceae,Angiosperm,,,,,,,,,Tetradium daniellii
Theobroma,cacao,cocao,cocao bean,Malvaceae,Angiosperm,,,,,,,,,Theobroma cacao
Thuja,plicata,western red cedar,,Cupressaceae,Gymnosperm,,,,,,,,,Thuja plicata
Thujopsis,dolabrata,hiba,sauhi,Cupressaceae,Gymnosperm,,,,,,,,,Thujopsis dolabrata
Thujopsis,dolobrata var. hondae,hiba,,Cupressaceae,Gymnosperm,,,,,,,,,Thujopsis dolobrata var. hondae
Tilia,americana,American basswood,,Malvaceae,Angiosperm,,,,,,,,,Tilia americana
Tilia,concinna,,,Malvaceae,Angiosperm,,,,,,,,,Tilia concinna
Tilia, tree,greenspire linden,,Malvaceae,Angiosperm,,,,,,,,,Tilia  tree
Tilia,dasystyla subsp. dasystyla,,,Malvaceae,Angiosperm,,,,,,,,,Tilia dasystyla subsp. dasystyla
Tilia,laetevirens,Chinese lime,Chinese linden,Malvaceae,Angiosperm,,,,,,,,,Tilia laetevirens
Tilia,mongolica,Mongolian lime,,Malvaceae,Angiosperm,,,,,,,,,Tilia mongolica
Tilia,nobilis,noble lime,,Malvaceae,Angiosperm,,,,,,,,,Tilia nobilis
Tilia,oliveri,Chinese lime,Chinese white lime,Malvaceae,Angiosperm,,,,,,,,,Tilia oliveri
Tilia,platyphyllos,large leaved lime,large leaved linden,Malvaceae,Angiosperm,,,,,,,,,Tilia platyphyllos
Tilia,platyphyllos 'Laciananta',cut-leaved linden,,Malvaceae,Angiosperm,,,,,,,,,Tilia platyphyllos 'Laciananta'
Tilia,tomentosa 'Petiolaris',pendent silver lime,weeping silver lime,Malvaceae,Angiosperm,,,,,,,,,Tilia tomentosa 'Petiolaris'
Tilia,x europaea,lime,linden,Malvaceae,Angiosperm,,,,,,,,,Tilia x europaea
Tilia,x moltkei,von Moltke linden,,Malvaceae,Angiosperm,,,,,,,,,Tilia x moltkei
Tipuana,tipu,rosewood,,Fabaceae,Angiosperm,,,,,,,,,Tipuana tipu
Toona,ciliata,red cedar,toon tree,Meliaceae,Angiosperm,,,,,,,,,Toona ciliata
Toona,sinensis,Chinese cedar,Chinese mahogany,Meliaceae,Angiosperm,,,,,,,,,Toona sinensis
Trachycarpus,fortunei,Chinese windmill palm,,Arecaceae,Angiosperm,,,,,,,,,Trachycarpus fortunei
Tristaniopsis,laurina ,kanooka,water gum,Myrtaceae,Angiosperm,,,,,,,,,Tristaniopsis laurina 
Tsuga,canadensis,eastern hemlock,,Pinaceae,Gymnosperm,,,,,,,,,Tsuga canadensis
Tsuga,canadensis 'Microphylla',,,Pinaceae,Gymnosperm,,,,,,,,,Tsuga canadensis 'Microphylla'
Tsuga,caroliniana 'Compacta',Everitt's golden,,Pinaceae,Gymnosperm,,,,,,,,,Tsuga caroliniana 'Compacta'
Tsuga,forrestii,lijiang tieshan,,Pinaceae,Gymnosperm,,,,,,,,,Tsuga forrestii
Tsuga,heterophylaa,western hemlock,,Pinaceae,Gymnosperm,,,,,,,,,Tsuga heterophylaa
Tsuga,ulleungensis,ulleungdo hemlock,,Pinaceae,Gymnosperm,,,,,,,,,Tsuga ulleungensis
Ulmus,glabra,wych elm,scotch elm,Ulmaceae,Angiosperm,,,,,,,,,Ulmus glabra
Ulmus,procera,English elm,,Ulmaceae,Angiosperm,,,,,,,,,Ulmus procera
Ulmus,pumila,Siberian elm,,Ulmaceae,Angiosperm,,,,,,,,,Ulmus pumila
Ulmus,x  hollandica,Dutch elm,,Ulmaceae,Angiosperm,,,,,,,,,Ulmus x  hollandica
Viburnum,foetidum var. rectangulatum,Himalayan evergreen virburnum,,Adoxaceae,Angiosperm,,,,,,,,,Viburnum foetidum var. rectangulatum
Viburnum,macrocephalum,Chinese snowball,,Adoxaceae,Angiosperm,,,,,,,,,Viburnum macrocephalum
Viburnum,sieboldii,Siebold's viburnum,,Adoxaceae,Angiosperm,,,,,,,,,Viburnum sieboldii
Viburnum,odoratissimum,sweet virburnum,,Adoxaceae,Angiosperm,,,,,,,,,Viburnum odoratissimum
Vitex,lucens,puriri,,Lamiaceae,Angiosperm,,,,,,,,,Vitex lucens
Vitex,negundo,Chinese chae tree,horseshoe vitex,Lamiaceae,Angiosperm,,,,,,,,,Vitex negundo
Washingtonia,filifera,Californian fan palm,,Arecaceae,Angiosperm,,,,,,,,,Washingtonia filifera
Waterhousea,floribunda,weeping lilly-pilly,,Myrtaceae,Angiosperm,,,,,,,,,Waterhousea floribunda
Weinmannia,racemosa,kamahi,,Cunoniaceae,Angiosperm,,,,,,,,,Weinmannia racemosa
Widdringtonia,wallichii,clanwilliam cedar,clanwilliam cypress,Cupressaceae,Gymnosperm,,,,,,,,,Widdringtonia wallichii
Wollemia,nobilis,wollemi pine,,Araucariaceae,Gymnosperm,,,,,,,,,Wollemia nobilis
Xanthoceras,sorbifolium,yellowhorn,golden horn,Sapindaceae,Angiosperm,,,,,,,,,Xanthoceras sorbifolium
Xanthorrhoea,malacophylla,grass tree,,Asphodelaceae,Angiosperm,,,,,,,,,Xanthorrhoea malacophylla
Xanthorrhoea,glauca ,black boy tree,blue grass tree,Asphodelaceae,Angiosperm,,,,,,,,,Xanthorrhoea glauca 
Xanthostemon,oppositifolius,southern penda,,Myrtaceae,Angiosperm,,,,,,,,,Xanthostemon oppositifolius
Xanthoxylum,octandrum,false jitta,yellow boxwood,Polygalaceae,Angiosperm,,,,,,,,,Xanthoxylum octandrum
Xanthoxylum,whitei,,,Polygalaceae,Angiosperm,,,,,,,,,Xanthoxylum whitei
Xanthoxylum,simulans,Sichuan pepper,Szechuan pepper,Polygalaceae,Angiosperm,,,,,,,,,Xanthoxylum simulans
Yucca,elephantipes,spineless yucca,,Asparagaceae,Angiosperm,,,,,,,,,Yucca elephantipes
Zelcova,carpinifolia,elm zelcova,Caucasian zelcova ,Ulmaceae,Angiosperm,,,,,,,,,Zelcova carpinifolia
Zelcova,serrata,Japanese zelcova,,Ulmaceae,Angiosperm,,,,,,,,,Zelcova serrata
Zieria ,adenodonta,Wollumbin zieria,,Rutaceae,Angiosperm,,,,,,,,,Zieria  adenodonta
