Genus,Species,Common Name 1,Common Name 2,Family,Clade,Size,Canopy,Global_ Distribution,Locality,Abundance,Climatic_Domain,Climatic _Zone,General_Description,Images_Folder
Magnolia,grandiflora 'St Mary',,,Magnoliaceae,Angiosperm,,,,,,,,,Magnolia grandiflora 'St Mary'
Magnolia,grandiflora,southern magnolia ,bull bay,Magnoliaceae,Angiosperm,,,,,,,,,Magnolia grandiflora
Magnolia,kobus var. borealis,northern Japanese magnolia,,Magnoliaceae,Angiosperm,,,,,,,,,Magnolia kobus var. borealis
Magnolia,salicifolia,anise magnolia,,Magnoliaceae,Angiosperm,,,,,,,,,Magnolia salicifolia
Magnolia,stellata,star magnolia,,Magnoliaceae,Angiosperm,,,,,,,,,Magnolia stellata
Magnolia,x soulangiana,saucer magnolia,,Magnoliaceae,Angiosperm,,,,,,,,,Magnolia x soulangiana
Mallotus,japonicus,Japanese mallotus,hisagi,Euphorbiaceae,Angiosperm,,,,,,,,,Mallotus japonicus
Malus,baccata,Siberian crab apple,,Rosaceae,Angiosperm,,,,,,,,,Malus baccata
Malus,sieberi,,,Rosaceae,Angiosperm,,,,,,,,,Malus sieberi
Malus,sieboldii,Siebold's crab,Toringo crabapple,Rosaceae,Angiosperm,,,,,,,,,Malus sieboldii
Malus,sylvestris,European crab apple,crab apple,Rosaceae,Angiosperm,,,,,,,,,Malus sylvestris
Malus,tschonoskii,pillar apple,Chonosuki crab,Rosaceae,Angiosperm,,,,,,,,,Malus tschonoskii
Malus,x robusta,crab apple,red sentinel,Rosaceae,Angiosperm,,,,,,,,,Malus x robusta
Malus,yunnanensis,Yunnancrabapple,whychwood ruby,Rosaceae,Angiosperm,,,,,,,,,Malus yunnanensis
Maytenus,magellanica,Magellan's mayten,hard log mayten,Celastraceae,Angiosperm,,,,,,,,,Maytenus magellanica
Melaleuca,ericifolia,swamp paperbark,,Myrtaceae,Angiosperm,,,,,,,,,Melaleuca ericifolia
Melaleuca,leucadendra,weeping paper bark,long-leaved paperbark,Myrtaceae,Angiosperm,,,,,,,,,Melaleuca leucadendra
Melaleuca,linariifolia,snow-in-summer,narrow-leaved paperbark,Myrtaceae,Angiosperm,,,,,,,,,Melaleuca linariifolia
Melaleuca,nodosa,prickly-leaved paperbark,,Myrtaceae,Angiosperm,,,,,,,,,Melaleuca nodosa
Melaleuca,parvistaminea,rough-barked honey-myrtle,,Myrtaceae,Angiosperm,,,,,,,,,Melaleuca parvistaminea
Melaleuca,styphelioides,prickly leaved paperbark,prickly paperbark,Myrtaceae,Angiosperm,,,,,,,,,Melaleuca styphelioides
Melia,azederach,chinaberry,white cedar,Meliaceae,Angiosperm,,,,,,,,,Melia azederach
Melia,azedarach var. australasica,white cedar,,Meliaceae,Angiosperm,,,,,,,,,Melia azedarach var. australasica
Melicytus,dentatus,tree violet,,Violaceae,Angiosperm,,,,,,,,,Melicytus dentatus
Melicytus,ramiflorus,mahoe,whiteywood,Violaceae,Angiosperm,,,,,,,,,Melicytus ramiflorus
Meryta,latifolia,broad-leaved Meryta,,Araliaceae,Angiosperm,,small,Islands,,,,,,Meryta latifolia
Mespilus,germanica,medlar,,Rosaceae,Angiosperm,,,,,,,,,Mespilus germanica
Metasequoia,glyptostroboides,dawn redwood,mountain celery pine,Cupressaceae,Gymnosperm,,,,,,,,,Metasequoia glyptostroboides
Metrosideros,excelsa,New Zealand christmas tree,,Myrtaceae,Angiosperm,,,,,,,,,Metrosideros excelsa
Metrosideros,umbellata,rata,southern rata,Myrtaceae,Angiosperm,,,,,,,,,Metrosideros umbellata
Michelia,yunnanensis,scented pearl magnolioa,,Magnoliaceae,Angiosperm,,,,,,,,,Michelia yunnanensis
Mischocarpus,exangulatus,red bell mischocarp,,Sapindaceae,Angiosperm,,,,,,,,,Mischocarpus exangulatus
Morinda,citrifolia ,noni,cheesefruit,Rubiaceae,Angiosperm,,,,,,,,,Morinda citrifolia 
